VK,HT,FT,HT_normalized,FT_normalized,Injection
16,208,-1,0.13578595317725753,-1.0,0
77,112,144,0.07157190635451505,0.12162162162162163,0
65,128,112,0.0822742474916388,0.0945945945945946,0
82,288,80,0.18929765886287625,0.06756756756756757,0
73,80,288,0.05016722408026756,0.24324324324324326,0
65,112,128,0.07157190635451505,0.10810810810810811,0
71,144,80,0.09297658862876254,0.06756756756756757,0
69,144,80,0.09297658862876254,0.06756756756756757,0
32,112,64,0.07157190635451505,0.05405405405405406,0
73,80,560,0.05016722408026756,0.47297297297297297,0
83,80,96,0.05016722408026756,0.08108108108108109,0
32,48,128,0.028762541806020066,0.10810810810810811,0
65,112,352,0.07157190635451505,0.2972972972972973,0
32,112,144,0.07157190635451505,0.12162162162162163,0
83,80,208,0.05016722408026756,0.17567567567567569,0
65,112,304,0.07157190635451505,0.25675675675675674,0
67,78,240,0.04882943143812709,0.20270270270270271,0
82,144,192,0.09297658862876254,0.16216216216216217,0
69,112,80,0.07157190635451505,0.06756756756756757,0
68,128,192,0.0822742474916388,0.16216216216216217,0
32,112,48,0.07157190635451505,0.04054054054054054,0
72,144,176,0.09297658862876254,0.14864864864864866,0
85,112,96,0.07157190635451505,0.08108108108108109,0
77,96,224,0.06086956521739131,0.1891891891891892,0
65,96,128,0.06086956521739131,0.10810810810810811,0
78,128,96,0.0822742474916388,0.08108108108108109,0
32,112,96,0.07157190635451505,0.08108108108108109,0
67,96,176,0.06086956521739131,0.14864864864864866,0
69,144,128,0.09297658862876254,0.10810810810810811,0
82,128,80,0.0822742474916388,0.06756756756756757,0
79,112,80,0.07157190635451505,0.06756756756756757,0
8,64,816,0.03946488294314381,0.6891891891891891,0
69,80,144,0.05016722408026756,0.12162162162162163,0
77,64,560,0.03946488294314381,0.47297297297297297,0
79,112,176,0.07157190635451505,0.14864864864864866,0
78,80,80,0.05016722408026756,0.06756756756756757,0
89,128,176,0.0822742474916388,0.14864864864864866,0
32,112,112,0.07157190635451505,0.0945945945945946,0
66,112,128,0.07157190635451505,0.10810810810810811,0
69,96,96,0.06086956521739131,0.08108108108108109,0
84,144,48,0.09297658862876254,0.04054054054054054,0
87,112,144,0.07157190635451505,0.12162162162162163,0
69,288,64,0.18929765886287625,0.05405405405405406,0
78,112,288,0.07157190635451505,0.24324324324324326,0
32,96,112,0.06086956521739131,0.0945945945945946,0
65,144,48,0.09297658862876254,0.04054054054054054,0
32,96,128,0.06086956521739131,0.10810810810810811,0
77,96,112,0.06086956521739131,0.0945945945945946,0
65,96,96,0.06086956521739131,0.08108108108108109,0
78,112,96,0.07157190635451505,0.08108108108108109,0
32,80,368,0.05016722408026756,0.3108108108108108,0
65,112,96,0.07157190635451505,0.08108108108108109,0
78,114,97,0.07290969899665552,0.08192567567567567,0
68,77,114,0.048160535117056855,0.09628378378378379,0
32,96,77,0.06086956521739131,0.06503378378378379,0
87,80,304,0.05016722408026756,0.25675675675675674,0
79,128,64,0.0822742474916388,0.05405405405405406,0
77,80,64,0.05016722408026756,0.05405405405405406,0
65,112,112,0.07157190635451505,0.0945945945945946,0
78,80,80,0.05016722408026756,0.06756756756756757,0
190,96,176,0.06086956521739131,0.14864864864864866,0
32,96,64,0.06086956521739131,0.05405405405405406,0
16,96,128,0.06086956521739131,0.10810810810810811,0
84,128,80,0.0822742474916388,0.06756756756756757,0
72,112,80,0.07157190635451505,0.06756756756756757,0
69,112,112,0.07157190635451505,0.0945945945945946,0
